#chrom	start	end	name	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group	groseq_dht.plus	groseq_dht.plus	groseq_dht.minus	groseq_dht.minus	groseq_dmso.plus	groseq_dmso.plus	groseq_dmso.minus	groseq_dmso.minus
chr6	35695604	35695954	chr6:35695604-35695954	.	.	35695604	35695954	0	1	350	35695601	con.ARBS.M.bed	4.526	2.773	19.3	5.935	0.5731	1.495	5.893	6.207
chr1	233161036	233161386	chr1:233161036-233161386	.	.	233161036	233161386	0	1	350	233161034	con.ARBS.M.bed	1.772	1.563	4.387	18.82	0.7599	0.4859	6.837	11.04
chr10	62042445	62042795	chr10:62042445-62042795	.	.	62042445	62042795	0	1	350	62042439	con.ARBS.M.bed	0	0	13.29	11.79	0	0	9.511	11.01
chr2	25841344	25841694	chr2:25841344-25841694	.	.	25841344	25841694	0	1	350	25841342	con.ARBS.M.bed	0.5336	0	5.529	8.219	0	0	15.56	15.48
chr4	173959506	173959856	chr4:173959506-173959856	.	.	173959506	173959856	0	1	350	173959505	con.ARBS.M.bed	0.7718	2.144	8.134	7.749	0.5482	0	12.49	13.34
chr2	234180278	234180628	chr2:234180278-234180628	.	.	234180278	234180628	0	1	350	234180276	con.ARBS.M.bed	6.851	3.211	8.368	2.54	4.161	4.56	8.038	6.179
chr15	69759940	69760290	chr15:69759940-69760290	.	.	69759940	69760290	0	1	350	69759934	con.ARBS.M.bed	0.9528	4.002	6.564	2.295	2.865	3.987	12.87	10.3
chr3	131937629	131937979	chr3:131937629-131937979	.	.	131937629	131937979	0	1	350	131937628	con.ARBS.M.bed	1.029	2.582	15.13	5.124	2.18	1.296	14.32	1.073
chr7	131085596	131085946	chr7:131085596-131085946	.	.	131085596	131085946	0	1	350	131085595	con.ARBS.M.bed	4.564	7.232	5.913	1.025	4.36	12.83	4.291	1.373
chr14	38712879	38713229	chr14:38712879-38713229	.	.	38712879	38713229	0	1	350	38712876	con.ARBS.M.bed	0	0.9528	8.539	7.664	0.8845	2.492	12.46	6.093
chr7	105953816	105954166	chr7:105953816-105954166	.	.	105953816	105954166	0	1	350	105953815	con.ARBS.M.bed	0	0.9528	18.48	3.127	1.669	0.8222	6.794	6.336
chr2	120824602	120824952	chr2:120824602-120824952	.	.	120824602	120824952	0	1	350	120824601	con.ARBS.M.bed	4.964	1.667	9.585	5.166	4.884	1.296	7.208	3.404
chr9	110195011	110195361	chr9:110195011-110195361	.	.	110195011	110195361	0	1	350	110195010	con.ARBS.M.bed	0.3716	3.649	14.01	0.6511	0	4.771	10.34	3.733
chr19	3336561	3336911	chr19:3336561-3336911	.	.	3336561	3336911	0	1	350	3336558	con.ARBS.M.bed	0.9528	4.764	6.468	8.304	4.186	7.3	4.291	0.8725
chr16	78167686	78168036	chr16:78167686-78168036	.	.	78167686	78168036	0	1	350	78167679	con.ARBS.M.bed	1.162	1.563	2.071	8.07	0.7599	1.383	5.95	15.5
chr9	34185792	34186142	chr9:34185792-34186142	.	.	34185792	34186142	0	1	350	34185789	con.ARBS.M.bed	13.9	9.9	0	0	5.718	4.149	1.43	1.316
chr6	116565335	116565685	chr6:116565335-116565685	.	.	116565335	116565685	0	1	350	116565334	con.ARBS.M.bed	7.289	5.479	4.75	4.163	5.668	5.793	1.573	1.287
chr5	68572341	68572691	chr5:68572341-68572691	.	.	68572341	68572691	0	1	350	68572335	con.ARBS.M.bed	2.62	5.784	6.981	9.511	2.093	2.267	1.101	5.206
chr6	138708688	138709038	chr6:138708688-138709038	.	.	138708688	138709038	0	1	350	138708687	con.ARBS.M.bed	0	1.315	15.75	1.58	0.7849	0.461	14.47	0
chr3	37186132	37186482	chr3:37186132-37186482	.	.	37186132	37186482	0	1	350	37186129	con.ARBS.M.bed	0	0	12.5	9.19	0	0	8.324	3.375
chr13	49973906	49974256	chr13:49973906-49974256	.	.	49973906	49974256	0	1	350	49973902	con.ARBS.M.bed	0	5.45	11.27	4.889	0.3862	7.064	2.861	1.144
chr7	111169850	111170200	chr7:111169850-111170200	.	.	111169850	111170200	0	1	350	111169849	con.ARBS.M.bed	0	0	6.938	5.871	1.246	0	7.509	10.37
chr2	202330944	202331294	chr2:202330944-202331294	.	.	202330944	202331294	0	1	350	202330942	con.ARBS.M.bed	3.344	5.708	4.814	4.323	3.513	6.927	1.702	1.159
chr6	34192150	34192500	chr6:34192150-34192500	.	.	34192150	34192500	0	1	350	34192147	con.ARBS.M.bed	6.193	6.67	1.067	2.135	7.163	5.295	0	1.43
chr21	42954982	42955332	chr21:42954982-42955332	.	.	42954982	42955332	0	1	350	42954978	con.ARBS.M.bed	3.03	1.868	14.98	9.468	0	0	0	0.4577
chr12	91782354	91782704	chr12:91782354-91782704	.	.	91782354	91782704	0	1	350	91782345	con.ARBS.M.bed	1.505	1.62	6.223	4.899	1.345	3.787	4.82	5.135
chr8	144137042	144137392	chr8:144137042-144137392	.	.	144137042	144137392	0	1	350	144137041	con.ARBS.M.bed	0.9528	0	4.91	13.15	0	0	2.632	7.38
chr4	170098298	170098648	chr4:170098298-170098648	.	.	170098298	170098648	0	1	350	170098297	con.ARBS.M.bed	0	0.9528	5.967	10.47	0	0	6.35	5.092
chr10	82800522	82800872	chr10:82800522-82800872	.	.	82800522	82800872	0	1	350	82800514	con.ARBS.M.bed	0	0	2.508	6.031	0.3488	0	11.86	7.852
chr17	74169994	74170344	chr17:74169994-74170344	.	.	74169994	74170344	0	1	350	74169987	con.ARBS.M.bed	0	0	9.681	9.19	0	1.246	0.8868	6.265
chr1	183029420	183029770	chr1:183029420-183029770	.	.	183029420	183029770	0	1	350	183029419	con.ARBS.M.bed	5.717	13.91	0	1.067	2.741	2.616	0	0
chr1	92210738	92211088	chr1:92210738-92211088	.	.	92210738	92211088	0	1	350	92210729	con.ARBS.M.bed	4.526	0.7146	6.383	3.736	2.977	5.295	0.3433	1.43
chr4	143521964	143522314	chr4:143521964-143522314	.	.	143521964	143522314	0	1	350	143521963	con.ARBS.M.bed	0	0	7.034	7.226	0	1.246	2.746	6.35
chr19	48151362	48151712	chr19:48151362-48151712	.	.	48151362	48151712	0	1	350	48151358	con.ARBS.M.bed	3.926	4.898	6.959	1.067	1.246	2.791	3.218	0.3576
chr9	84202666	84203016	chr9:84202666-84203016	.	.	84202666	84203016	0	1	350	84202658	con.ARBS.M.bed	5.669	3.745	4.174	2.402	4.497	0.1121	1.302	1.53
chr15	33322397	33322747	chr15:33322397-33322747	.	.	33322397	33322747	0	1	350	33322394	con.ARBS.M.bed	0	0	1.473	16.67	0	0	0.3147	3.976
chr14	56355759	56356109	chr14:56355759-56356109	.	.	56355759	56356109	0	1	350	56355754	con.ARBS.M.bed	0	0.9528	3.202	3.544	0	0	10.78	2.546
chr3	177527808	177528158	chr3:177527808-177528158	.	.	177527808	177528158	0	1	350	177527807	con.ARBS.M.bed	0.4002	0.9528	5.433	1.783	0	2.492	6.322	3.576
chr13	49761838	49762188	chr13:49761838-49762188	.	.	49761838	49762188	0	1	350	49761834	con.ARBS.M.bed	1.448	6.079	1.879	1.729	1.395	5.307	1.616	1.244
chr11	74517152	74517502	chr11:74517152-74517502	.	.	74517152	74517502	0	1	350	74517145	con.ARBS.M.bed	4.05	4.126	1.313	1.847	2.492	3.737	1.101	1.788
chr8	133911072	133911422	chr8:133911072-133911422	.	.	133911072	133911422	0	1	350	133911071	con.ARBS.M.bed	0.4478	1.458	10.5	1.067	0	2.417	2.818	1.473
chr19	3429528	3429878	chr19:3429528-3429878	.	.	3429528	3429878	0	1	350	3429525	con.ARBS.M.bed	5.155	5.441	0.5977	1.537	2.878	4.248	0	0
chr15	86453910	86454260	chr15:86453910-86454260	.	.	86453910	86454260	0	1	350	86453902	con.ARBS.M.bed	0	0	3.736	11.95	0	0	1.001	3.004
chr5	148192794	148193144	chr5:148192794-148193144	.	.	148192794	148193144	0	1	350	148192793	con.ARBS.M.bed	7.27	1.953	2.871	0.3309	3.202	1.782	2.231	0
chr8	96112813	96113163	chr8:96112813-96113163	.	.	96112813	96113163	0	1	350	96112804	con.ARBS.M.bed	0	0.9528	3.736	3.736	3.75	2.641	2.503	1.974
chr16	3603007	3603357	chr16:3603007-3603357	.	.	3603007	3603357	0	1	350	3603004	con.ARBS.M.bed	1.429	4.002	3.085	2.252	2.803	1.196	1.788	1.888
chr2	28189280	28189630	chr2:28189280-28189630	.	.	28189280	28189630	0	1	350	28189278	con.ARBS.M.bed	1.906	0.7623	3.256	1.014	5.232	0	2.861	3.29
chr3	104317840	104318190	chr3:104317840-104318190	.	.	104317840	104318190	0	1	350	104317839	con.ARBS.M.bed	1.048	0	1.334	1.975	0	0	8.939	4.648
chr14	34174601	34174951	chr14:34174601-34174951	.	.	34174601	34174951	0	1	350	34174598	con.ARBS.M.bed	0.4669	0	5.369	1.558	0	0	7.18	2.818
chr18	41377179	41377529	chr18:41377179-41377529	.	.	41377179	41377529	0	1	350	41377175	con.ARBS.M.bed	0.9528	0.4764	1.238	3.031	0	0	5.292	6.265
chr4	20640882	20641232	chr4:20640882-20641232	.	.	20640882	20641232	0	1	350	20640880	con.ARBS.M.bed	0	0	9.148	0.459	0	0	7.151	0
chr14	22802314	22802664	chr14:22802314-22802664	.	.	22802314	22802664	0	1	350	22802312	con.ARBS.M.bed	0.9528	0	5.102	1.153	2.317	0.1744	3.018	3.733
chr22	48650217	48650567	chr22:48650217-48650567	.	.	48650217	48650567	0	1	350	48650213	con.ARBS.M.bed	0	1.906	0.982	3.288	1.557	0.09966	1.788	6.794
chr18	21264444	21264794	chr18:21264444-21264794	.	.	21264444	21264794	0	1	350	21264442	con.ARBS.M.bed	2.268	1.01	5.935	0	0	0.5482	6.522	0
chr17	64671963	64672313	chr17:64671963-64672313	.	.	64671963	64672313	0	1	350	64671957	con.ARBS.M.bed	3.459	4.888	0	2.135	2.33	2.193	0	0.1859
chr1	242406396	242406746	chr1:242406396-242406746	.	.	242406396	242406746	0	1	350	242406394	con.ARBS.M.bed	0.7146	1.667	6.276	4.889	0	0	1.43	0
chr17	48986464	48986814	chr17:48986464-48986814	.	.	48986464	48986814	0	1	350	48986460	con.ARBS.M.bed	0	0.4002	2.199	5.807	0	0.1744	2.503	3.733
chr19	41426907	41427257	chr19:41426907-41427257	.	.	41426907	41427257	0	1	350	41426903	con.ARBS.M.bed	0	2.582	2.327	0.3416	0.3987	5.731	2.045	0.9154
chr12	115093754	115094104	chr12:115093754-115094104	.	.	115093754	115094104	0	1	350	115093753	con.ARBS.M.bed	0.2763	0.6765	3.736	5.337	0	0	0.4148	3.876
chr16	22037714	22038064	chr16:22037714-22038064	.	.	22037714	22038064	0	1	350	22037712	con.ARBS.M.bed	0.3716	4.85	0	0	2.666	6.403	0	0
chr4	88225720	88226070	chr4:88225720-88226070	.	.	88225720	88226070	0	1	350	88225712	con.ARBS.M.bed	0	0.1906	1.014	6.671	0	1.246	2.288	2.861
chr3	150421717	150422067	chr3:150421717-150422067	.	.	150421717	150422067	0	1	350	150421716	con.ARBS.M.bed	2.544	0.3144	0.3522	1.067	6.752	2.803	0	0
chrX	18028206	18028556	chrX:18028206-18028556	.	.	18028206	18028556	0	1	350	18028205	con.ARBS.M.bed	0	0	3.8	5.743	0	0	1.159	3.132
chr13	33801838	33802188	chr13:33801838-33802188	.	.	33801838	33802188	0	1	350	33801835	con.ARBS.M.bed	0	0	2.818	4.782	0.162	0.461	1.43	4.119
chr11	17427068	17427418	chr11:17427068-17427418	.	.	17427068	17427418	0	1	350	17427067	con.ARBS.M.bed	0	0.6479	1.985	6.02	1.159	1.159	0	2.66
chr9	82104384	82104734	chr9:82104384-82104734	.	.	82104384	82104734	0	1	350	82104376	con.ARBS.M.bed	1.906	0	0.8005	2.572	0	1.046	2.789	4.362
chr21	23487928	23488278	chr21:23487928-23488278	.	.	23487928	23488278	0	1	350	23487926	con.ARBS.M.bed	0	1.963	3.266	5.273	0	0	2.861	0
chr10	70393712	70394062	chr10:70393712-70394062	.	.	70393712	70394062	0	1	350	70393705	con.ARBS.M.bed	0	1.906	3.725	2.017	0	0.7724	1.073	3.762
chr5	72840224	72840574	chr5:72840224-72840574	.	.	72840224	72840574	0	1	350	72840217	con.ARBS.M.bed	0	0	4.782	4.312	0	0.299	2.489	0.7437
chr1	184898982	184899332	chr1:184898982-184899332	.	.	184898982	184899332	0	1	350	184898981	con.ARBS.M.bed	0.9528	0.6098	4.003	1.911	0	0.3987	1.63	2.66
chr6	46789208	46789558	chr6:46789208-46789558	.	.	46789208	46789558	0	1	350	46789204	con.ARBS.M.bed	1.829	0	3.458	4.547	0	0	0.6007	1.43
chr1	100452183	100452533	chr1:100452183-100452533	.	.	100452183	100452533	0	1	350	100452182	con.ARBS.M.bed	1.667	0.4002	1.772	1.43	2.28	2.703	0	1.43
chr1	192830822	192831172	chr1:192830822-192831172	.	.	192830822	192831172	0	1	350	192830821	con.ARBS.M.bed	0	1.162	2.167	2.701	1.208	0.03737	0	4.291
chr4	11233470	11233820	chr4:11233470-11233820	.	.	11233470	11233820	0	1	350	11233469	con.ARBS.M.bed	0	0	0	6.938	0	0	0	4.291
chr6	120877510	120877860	chr6:120877510-120877860	.	.	120877510	120877860	0	1	350	120877509	con.ARBS.M.bed	0	1.239	5.764	3.629	0	0	0	0
chr3	192332599	192332949	chr3:192332599-192332949	.	.	192332599	192332949	0	1	350	192332598	con.ARBS.M.bed	0	0	1.58	1.622	0	0	6.822	0.3719
chr8	75192952	75193302	chr8:75192952-75193302	.	.	75192952	75193302	0	1	350	75192945	con.ARBS.M.bed	0	0.01906	3.757	3.757	0	0	2.474	0.3862
chr20	31779160	31779510	chr20:31779160-31779510	.	.	31779160	31779510	0	1	350	31779157	con.ARBS.M.bed	0	0	5.924	1.548	0	0	2.431	0.4291
chr18	41514894	41515244	chr18:41514894-41515244	.	.	41514894	41515244	0	1	350	41514890	con.ARBS.M.bed	0.2382	1.191	3.063	2.402	0	0.6229	0	2.689
chr21	27510798	27511148	chr21:27510798-27511148	.	.	27510798	27511148	0	1	350	27510796	con.ARBS.M.bed	0	0	2.263	2.092	0	0	3.99	1.759
chr17	53056893	53057243	chr17:53056893-53057243	.	.	53056893	53057243	0	1	350	53056888	con.ARBS.M.bed	3.678	2.039	0.5337	1.067	0	0	0	2.76
chr16	71490581	71490931	chr16:71490581-71490931	.	.	71490581	71490931	0	1	350	71490574	con.ARBS.M.bed	0	0.2954	2.135	4.526	0	0	0.08582	2.775
chr11	70823968	70824318	chr11:70823968-70824318	.	.	70823968	70824318	0	1	350	70823961	con.ARBS.M.bed	1.02	4.354	1.334	0.07472	2.442	0	0	0.5149
chr4	98378241	98378591	chr4:98378241-98378591	.	.	98378241	98378591	0	1	350	98378232	con.ARBS.M.bed	0	0	3.202	0	0	0	2.346	4.091
chr6	43667245	43667595	chr6:43667245-43667595	.	.	43667245	43667595	0	1	350	43667241	con.ARBS.M.bed	0.9528	2.287	1.708	3.042	0	0	0.2861	1.144
chr11	102183190	102183540	chr11:102183190-102183540	.	.	102183190	102183540	0	1	350	102183189	con.ARBS.M.bed	1.572	1.286	0	2.135	0	2.865	1.43	0
chr15	97264100	97264450	chr15:97264100-97264450	.	.	97264100	97264450	0	1	350	97264091	con.ARBS.M.bed	0	0	4.27	4.27	0.6229	0	0	0
chr3	68532164	68532514	chr3:68532164-68532514	.	.	68532164	68532514	0	1	350	68532158	con.ARBS.M.bed	0.8194	0	2.786	4.067	0	0	0	1.43
chr5	160297024	160297374	chr5:160297024-160297374	.	.	160297024	160297374	0	1	350	160297023	con.ARBS.M.bed	0	0	0	6.404	0.6104	0.6354	0	1.43
chr11	14309662	14310012	chr11:14309662-14310012	.	.	14309662	14310012	0	1	350	14309661	con.ARBS.M.bed	0	0.2287	1.067	0.6618	0	0.1495	1.244	5.163
chr15	43419748	43420098	chr15:43419748-43420098	.	.	43419748	43420098	0	1	350	43419744	con.ARBS.M.bed	0	0	2.092	2.69	0	0	2.203	1.373
chr18	8341432	8341782	chr18:8341432-8341782	.	.	8341432	8341782	0	1	350	8341424	con.ARBS.M.bed	1.086	2.077	1.452	0	3.737	0	0	0
chr5	126310102	126310452	chr5:126310102-126310452	.	.	126310102	126310452	0	1	350	126310101	con.ARBS.M.bed	0	0	1.11	4.248	0	0	1.101	1.788
chr12	43259028	43259378	chr12:43259028-43259378	.	.	43259028	43259378	0	1	350	43259024	con.ARBS.M.bed	0	1.22	3.8	1.537	0	0	0.04291	1.387
chr7	20998720	20999070	chr7:20998720-20999070	.	.	20998720	20999070	0	1	350	20998718	con.ARBS.M.bed	0	1.429	0.4803	1.654	0	0	0.6436	3.647
chr11	75429664	75430014	chr11:75429664-75430014	.	.	75429664	75430014	0	1	350	75429657	con.ARBS.M.bed	0	0	0.3843	5.337	0	1.246	0	0.7151
chr13	69602888	69603238	chr13:69602888-69603238	.	.	69602888	69603238	0	1	350	69602882	con.ARBS.M.bed	0	0	0.5444	2.786	0.7849	0.461	0.9011	1.788
chr6	139806658	139807008	chr6:139806658-139807008	.	.	139806658	139807008	0	1	350	139806657	con.ARBS.M.bed	0.9528	0	2.327	1.153	0	0	1.788	0.9583
chr16	56950908	56951258	chr16:56950908-56951258	.	.	56950908	56951258	0	1	350	56950903	con.ARBS.M.bed	0.4002	0.07623	1.42	5.241	0	0	0	0
chr11	46758010	46758360	chr11:46758010-46758360	.	.	46758010	46758360	0	1	350	46758006	con.ARBS.M.bed	0	0	0.9607	3.309	0	0	0.5721	2.288
chr15	85874260	85874610	chr15:85874260-85874610	.	.	85874260	85874610	0	1	350	85874252	con.ARBS.M.bed	0	0.1906	2.562	1.708	0	1.993	0.5721	0
chr4	97698108	97698458	chr4:97698108-97698458	.	.	97698108	97698458	0	1	350	97698099	con.ARBS.M.bed	0.7909	0.162	4.633	0	0	0	1.43	0
